"RcptCode","RcptNo","ROCode","RONo","RcptDate","RcptAmt","PayMode","ChqNo","BankName","Rmk"
$167.00,$1765.00,$400.00,$2454.00,22-1-2018 0:00:00,$308.00,"CASH","","","AFTER RS. 7/- DISCOUNT"
$168.00,$1766.00,$374.00,$2428.00,23-1-2018 0:00:00,$200000.00,"NEFT / RTGS","----","KARNATAKA BANK LTD.",""
$169.00,$1767.00,$331.00,$2385.00,16-1-2018 0:00:00,$25000.00,"NEFT / RTGS","","KBANK",""
$170.00,$1768.00,$350.00,$2404.00,23-1-2018 0:00:00,$11550.00,"NEFT / RTGS","","KARNATAKA BANK",""
$171.00,$1769.00,$307.00,$2361.00,24-1-2018 0:00:00,$7002.00,"NEFT / RTGS","","KARNATAKA BANK LTD",""
$172.00,$1770.00,$274.00,$2328.00,24-1-2018 0:00:00,$23690.00,"CASH","","",""
$173.00,$1771.00,$406.00,$2460.00,25-1-2018 0:00:00,$40000.00,"CHEQUE","CASH","---","PAYMENT FOR ADVT IN WAVE AND PVR CINEMA"
$174.00,$1772.00,$361.00,$2415.00,18-1-2018 0:00:00,$1814.00,"NEFT / RTGS","","KARNATAKA BANK LTD",""
$175.00,$1773.00,$310.00,$2364.00,17-1-2018 0:00:00,$4700.00,"CASH","","",""
$176.00,$1774.00,$408.00,$2462.00,25-1-2018 0:00:00,$4360.00,"CASH","","","AFTER DISCOUNT"
$177.00,$1775.00,$273.00,$2327.00,29-1-2018 0:00:00,$7060.00,"CHEQUE","","KARNATAKA BANK LTD","J & K BANK- 056547"
$179.00,$1777.00,$410.00,$2464.00,29-1-2018 0:00:00,$5810.00,"CHEQUE","001008","ICICI BANK ",""
$185.00,$1783.00,$365.00,$2419.00,29-1-2018 0:00:00,$20007.00,"CHEQUE","001091","HDFC BANK",""
$180.00,$1778.00,$287.00,$2341.00,1-2-2018 0:00:00,$23010.00,"CHEQUE","220351","PNB",""
$181.00,$1779.00,$334.00,$2388.00,30-1-2018 0:00:00,$18832.00,"CHEQUE","146583","PRATHAMA BANK",""
$182.00,$1780.00,$340.00,$2394.00,31-1-2018 0:00:00,$82231.00,"NEFT / RTGS","","KARNATAKA BANK LTD.",""
$183.00,$1781.00,$369.00,$2423.00,1-2-2018 0:00:00,$9416.00,"CASH","","",""
$184.00,$1782.00,$296.00,$2350.00,22-1-2018 0:00:00,$4708.00,"NEFT / RTGS","","KARNATAKA BANK LTD.",""
$186.00,$1784.00,$241.00,$2295.00,3-2-2018 0:00:00,$8240.00,"NEFT / RTGS","","KARNATAKA BANK LTD",""
$187.00,$1785.00,$312.00,$2366.00,5-2-2018 0:00:00,$46788.00,"NEFT / RTGS","-","KARNATAKA BANK LTD",""
$188.00,$1786.00,$387.00,$2441.00,5-2-2018 0:00:00,$3531.00,"CHEQUE","881004","STATE BANK OF INDIA",""
$189.00,$1787.00,$415.00,$2469.00,29-1-2018 0:00:00,$938.00,"CASH","","",""
$190.00,$1788.00,$355.00,$2409.00,9-2-2018 0:00:00,$10000.00,"CASH","","",""
$191.00,$1789.00,$362.00,$2416.00,10-2-2018 0:00:00,$10000.00,"CASH","","",""
$193.00,$1791.00,$130.00,$2184.00,29-8-2017 0:00:00,$200000.00,"NEFT / RTGS","","","SIRMAUR SOAP ALLIED"
$194.00,$1792.00,$174.00,$2228.00,27-9-2017 0:00:00,$100000.00,"NEFT / RTGS","","","SIRMAUR SOAP ALLIED"
$101.00,$1699.00,$227.00,$2281.00,4-10-2017 0:00:00,$200000.00,"NEFT / RTGS","","","SIRMAUR SOAP ALLIED"
$192.00,$1790.00,$430.00,$2484.00,10-2-2018 0:00:00,$900.00,"CASH","","",""
$196.00,$1794.00,$392.00,$2446.00,4-3-2018 0:00:00,$4708.00,"CHEQUE","002148","KARNATAKA BANK LTD.",""
$197.00,$1795.00,$394.00,$2448.00,27-2-2018 0:00:00,$6796.00,"CHEQUE","002147","KARNATAKA BANK LTD.",""
$198.00,$1796.00,$407.00,$2461.00,23-2-2018 0:00:00,$19207.00,"CHEQUE","000463","KARNATAKA BANK LTD.",""
$199.00,$1797.00,$380.00,$2434.00,22-2-2018 0:00:00,$4410.00,"CHEQUE","268063","SYNDICATE BANK",""
$200.00,$1798.00,$379.00,$2433.00,23-2-2018 0:00:00,$34170.00,"CHEQUE","284566","AXIS BANK LTD",""
$201.00,$1799.00,$453.00,$2507.00,24-2-2018 0:00:00,$930.00,"CASH","---","-----",""
$202.00,$1800.00,$342.00,$2396.00,26-2-2018 0:00:00,$87713.00,"NEFT / RTGS","","KARNATAKA BANK LTD",""
$203.00,$1801.00,$412.00,$2466.00,26-2-2018 0:00:00,$30000.00,"NEFT / RTGS","","KARNATAKA BANK LTD","DAINIK JAGRAN"
$205.00,$1803.00,$386.00,$2440.00,27-2-2018 0:00:00,$7060.00,"CASH","","",""
$206.00,$1804.00,$404.00,$2458.00,27-2-2018 0:00:00,$18191.00,"CHEQUE","268256","SYNDICATE BANK ",""
