"MBNo","MBDate","ROCode","RONo","Amt"
"UP-I-1718-131344",9-12-2017 0:00:00,$284.00,$2338.00,$2324.70
"UP-I-1718-131951",12-12-2017 0:00:00,$271.00,$2325.00,$1595.79
"UP-I-1718-17120125",11-12-2017 0:00:00,$278.00,$2332.00,$2166.99
"UP-I-1718-133421",14-12-2017 0:00:00,$303.00,$2357.00,$11920.23
"UP-I-1718-17120035",28-11-2017 0:00:00,$270.00,$2324.00,$2166.99
"UP-I-1718-17111088",30-11-2017 0:00:00,$267.00,$2321.00,$13632.04
"UP-I-1718-124297",29-11-2017 0:00:00,$268.00,$2322.00,$11920.23
"UP-I-1718-128692",6-12-2017 0:00:00,$272.00,$2326.00,$35700.00
"UP/DEC/17-18/039",14-12-2017 0:00:00,$236.00,$2290.00,$10196.00
"UP/DEC/17-18/059",21-12-2017 0:00:00,$243.00,$2297.00,$25488.00
"UP/DEC/17-18/006",7-12-2017 0:00:00,$233.00,$2287.00,$10196.00
"UP/NOV/17-18/005",24-11-2017 0:00:00,$220.00,$2274.00,$25488.00
"UP/NOV/17-18/040",15-11-2017 0:00:00,$198.00,$2252.00,$10196.00
"UP/OCT/17-18/197",31-10-2017 0:00:00,$131.00,$2185.00,$25488.00
"UP/OCT/17-18/141",31-10-2017 0:00:00,$181.00,$2235.00,$25488.00
"109",20-12-2017 0:00:00,$306.00,$2360.00,$13806.00
"460",7-12-2017 0:00:00,$306.00,$2360.00,$30250.00
"GST-001115",29-12-2017 0:00:00,$322.00,$2376.00,$53100.00
"QCNS0139271718",26-12-2018 0:00:00,$239.00,$2293.00,$14868.00
"QCNS0139191718",26-12-2017 0:00:00,$240.00,$2294.00,$22656.00
"QCNS0133401718",5-12-2017 0:00:00,$246.00,$2300.00,$2788.00
"QCNS0135211718",12-12-2017 0:00:00,$234.00,$2288.00,$17346.00
" QCNS0135641718",13-12-2017 0:00:00,$235.00,$2289.00,$7434.00
"QCNS0138591718",20-12-2017 0:00:00,$241.00,$2295.00,$6938.00
"QCNS0135231718",12-12-2017 0:00:00,$232.00,$2286.00,$6938.00
"IB1712A00032",31-12-2017 0:00:00,$336.00,$2390.00,$5356.00
"QCNS0145761718",4-1-2018 0:00:00,$274.00,$2328.00,$20815.00
"QCNS0141781718",29-12-2017 0:00:00,$289.00,$2343.00,$5576.00
"QCNS0141771718",29-12-2017 0:00:00,$288.00,$2342.00,$3717.00
"QCNS0141791718",29-12-2017 0:00:00,$292.00,$2346.00,$1859.00
"QCNS0141811718",29-12-2017 0:00:00,$298.00,$2352.00,$2788.00
"QCNS0141801718",29-12-2017 0:00:00,$293.00,$2347.00,$2788.00
